id,target
5,0.16632676
6,0.49313855
8,0.0033836516
9,0.17619376
11,0.080973074
15,0.32875794
16,0.0905338
17,0.06140499
21,0.37443742
24,0.020309461
26,0.024114113
27,0.8816479
28,0.16424924
29,0.12211153
30,0.41730624
31,0.0025305937
32,0.43578967
33,0.10267653
34,0.0044416757
35,0.9584137
38,0.0014349793
42,0.26082
44,0.0033745943
45,0.112019226
48,0.20657569
50,0.15489027
53,0.05822592
54,0.06397099
57,0.027725719
59,0.06311011
62,0.07652906
63,0.19041894
64,0.046998322
65,0.015151633
66,0.08965398
70,0.6893211
71,0.08958608
76,0.40146855
78,0.11076708
79,0.2537875
81,0.022374619
83,0.96955484
85,0.6734773
86,0.67486846
88,0.070190825
89,0.045774218
91,0.79066294
93,0.085204065
94,0.9353736
97,0.75519645
99,0.11415724
102,0.17230575
103,0.29243907
104,0.0025108973
107,0.21030135
110,0.58695185
114,0.0118951425
119,0.14295009
130,0.8073982
131,0.32443812
132,0.8531063
133,0.010726709
136,0.2534943
139,0.21886668
143,0.005031728
145,0.00042725512
146,0.030314699
147,0.023828529
148,0.03526259
149,0.0067301444
153,0.005125144
157,0.05453399
160,0.07181212
165,0.13159625
167,0.022908222
170,0.057888873
176,0.33022758
179,0.10311308
180,0.050064776
181,0.066024065
185,0.27504867
187,0.8943841
191,0.8172948
192,0.04325105
193,0.01740627
197,0.92242604
198,0.08398637
199,0.69339347
200,0.09828834
201,0.22003543
202,0.05514756
203,0.5082975
204,0.013950422
206,0.04769019
209,0.00013034155
210,0.8541543
211,0.11888315
213,0.7464183
214,0.041665636
216,0.010444017
221,0.064647846
222,0.07898974
223,0.79917496
226,0.28129068
228,0.79018205
229,0.11821161
233,0.23622268
236,0.9802138
239,0.017423289
242,0.07277041
244,0.83901894
247,0.14074217
250,0.20317121
251,0.010325764
253,0.083949625
258,0.47586378
259,0.2648667
260,0.9005469
261,0.5386247
262,0.029674644
263,0.41110095
267,0.36760095
268,0.042511843
269,0.005808256
271,0.17218055
276,0.6479005
283,0.11482327
286,0.011416525
291,0.14047386
292,0.0556199
293,0.15368393
294,0.043929502
295,0.04197744
298,0.07389086
300,0.7135655
302,0.3110463
304,0.9189143
305,0.33972347
307,0.16706982
309,0.48812792
314,0.09183724
315,0.04578704
316,0.08620336
317,0.18950257
319,0.83204067
320,0.019705841
322,0.009460626
331,0.017992472
332,0.040786818
333,0.07431909
334,0.052764144
335,0.07285517
339,0.065206945
340,0.039096575
342,0.18426645
344,0.0049307994
345,0.06807472
348,0.021975368
349,0.038566194
351,0.21297342
352,0.037219517
354,0.52331173
357,0.12454241
358,0.038622096
360,0.1791218
362,0.25371793
365,0.17583528
366,0.077788934
367,0.022275621
369,0.00014468913
373,0.5667786
375,0.06618933
377,0.8600971
380,0.0011442868
384,0.025963
388,0.10785326
391,0.137125
397,0.09444229
403,0.21735142
404,0.27672115
405,0.01556868
408,0.19662613
409,0.018728888
410,0.25891086
411,0.5544888
412,0.030257482
414,0.12239381
420,0.4688474
422,0.19258313
425,0.08370847
428,0.02827022
429,0.023372114
431,0.9628428
437,0.012425149
438,0.011466332
441,0.25111422
445,0.094620824
447,0.029417146
448,0.24337411
452,0.029653603
453,0.14444195
459,0.356797
461,0.06985433
464,0.039072044
465,0.10436657
467,0.042940333
469,0.07096968
470,0.6631824
475,0.9294622
476,0.020508612
483,0.47122455
484,0.035671953
485,0.10852655
488,0.2872695
493,0.8102472
495,0.3427587
498,0.1310689
499,0.09753735
501,0.30217746
505,0.065139
507,0.02756398
514,0.053037114
519,0.83049965
520,0.5159705
524,0.059534278
527,0.034403138
528,0.29445857
529,0.00018483672
530,0.05158693
531,0.36515826
533,0.8282291
536,0.014463396
537,0.11204661
538,0.035312835
540,0.122211605
541,0.054779157
543,0.20290945
544,0.7886411
548,0.11948086
552,0.02613408
555,0.40544254
556,0.7585362
557,0.119718246
558,0.047520597
560,0.54044294
563,0.0071464893
567,0.2406081
573,0.039866585
574,0.41292334
576,0.7076265
578,0.027700055
580,0.08581613
581,0.05509608
582,0.046611033
583,0.00066930836
584,0.007924353
586,0.080259964
587,0.04222978
591,0.016434828
592,0.7662906
593,0.0195932
595,0.027753929
597,0.09670408
601,0.09488979
603,0.1439488
605,0.0067528235
608,0.057167776
611,0.1361005
612,0.113518275
617,0.15151188
619,0.81463635
622,0.15144697
623,0.40302107
624,0.98952186
625,0.029280951
630,0.0015218245
632,0.238481
634,0.012421878
637,0.036592957
638,0.709745
640,0.009934616
642,0.65676147
644,0.44513094
647,0.11204863
648,0.91955286
649,0.16607897
650,0.007986635
653,0.030268677
655,0.044606112
658,0.14577147
660,0.08559866
664,0.24406125
665,0.25133136
666,0.066572554
667,0.50430804
668,0.23259962
672,0.16728298
674,0.33407354
675,0.8993593
676,0.6270412
677,0.57133037
678,0.014990211
679,0.09502424
680,0.02378728
682,0.08171766
683,0.22670384
686,0.7576305
692,0.08410884
694,0.041498974
695,0.3336905
696,0.012459465
701,0.09474445
707,0.050744016
708,0.7808411
713,0.094824985
715,0.2049191
716,0.36498705
724,0.06656033
726,0.35869592
727,0.019214172
731,0.8058639
736,0.14326501
737,0.00060448376
738,0.01541491
740,0.39735442
741,0.44877124
745,0.16618933
746,0.000680316
747,0.1394678
748,0.92555517
749,0.52305895
753,0.15236545
755,0.057417516
758,0.6230714
762,0.9843066
765,0.17475969
770,0.026773132
772,0.0660574
774,0.37650716
