id,target
5,0.15433717
6,0.4446619
8,0.010768983
9,0.11372095
11,0.069907814
15,0.32530597
16,0.097678795
17,0.032146394
21,0.49076262
24,0.01438264
26,0.014597099
27,0.92176825
28,0.18509452
29,0.09356829
30,0.4366403
31,0.0041821687
32,0.36912262
33,0.10911221
34,0.003552656
35,0.9150338
38,0.0012604947
42,0.23162735
44,0.0073332987
45,0.0944372
48,0.15212253
50,0.23149599
53,0.10664447
54,0.038427074
57,0.044018168
59,0.055493016
62,0.07658734
63,0.14410722
64,0.011349177
65,0.012665809
66,0.086963296
70,0.58288246
71,0.08580679
76,0.23854788
78,0.10775695
79,0.26564133
81,0.029212113
83,0.98051536
85,0.6587059
86,0.6312984
88,0.050161265
89,0.059334274
91,0.85380393
93,0.060673658
94,0.9076162
97,0.7589755
99,0.1499736
102,0.21468581
103,0.20843576
104,0.012960671
107,0.12342166
110,0.65071124
114,0.0097582005
119,0.17745622
130,0.778716
131,0.22583033
132,0.81421447
133,0.0074281124
136,0.20863312
139,0.26476964
143,0.0072856313
145,0.00085513305
146,0.04135293
147,0.023861136
148,0.041718524
149,0.009184121
153,0.010811675
157,0.055392087
160,0.08621533
165,0.11937128
167,0.026726479
170,0.05252291
176,0.29933158
179,0.12935019
180,0.06185407
181,0.050639797
185,0.32641643
187,0.8925194
191,0.83649534
192,0.022880884
193,0.019459922
197,0.93583554
198,0.1123484
199,0.70413345
200,0.098759085
201,0.26047656
202,0.058439977
203,0.47821406
204,0.01618222
206,0.043751016
209,0.0005841258
210,0.8258998
211,0.13941006
213,0.6997334
214,0.04182757
216,0.0193996
221,0.064668186
222,0.084620796
223,0.8172422
226,0.26917434
228,0.7688411
229,0.08927029
233,0.14713284
236,0.97860044
239,0.01670103
242,0.07082442
244,0.8943604
247,0.11200388
250,0.21402211
251,0.010938313
253,0.056213927
258,0.5141554
259,0.2536058
260,0.8597809
261,0.5456303
262,0.019973211
263,0.4745487
267,0.3535855
268,0.0681579
269,0.0044934605
271,0.1151674
276,0.77097607
283,0.21252097
286,0.007643147
291,0.17712331
292,0.043941543
293,0.07946458
294,0.037446614
295,0.03325413
298,0.05372841
300,0.7186579
302,0.3669612
304,0.8777596
305,0.24420166
307,0.16151989
309,0.47545463
314,0.08534152
315,0.064188756
316,0.087939106
317,0.13081592
319,0.87064356
320,0.01732716
322,0.011507412
331,0.019118376
332,0.04139905
333,0.07789148
334,0.035732888
335,0.042816907
339,0.05641993
340,0.03570622
342,0.16632546
344,0.008016308
345,0.04594343
348,0.036582112
349,0.032186467
351,0.15180342
352,0.024557114
354,0.49270916
357,0.14478289
358,0.023490155
360,0.14433897
362,0.26354432
365,0.20192903
366,0.060987443
367,0.026684929
369,0.0013208347
373,0.5923122
375,0.034885872
